replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,g_a_1,b_cn_0,b_cn_1,b_cn_2,g_cn_1,b_e_0,b_e_1,b_e_2,g_e_1,se_b_a_0,se_b_a_1,se_b_a_2,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_g_e_1
1,1202602,TRUE,0,0,,150,11100,74,74,74,54054.48206281255,24,123.34910178184509,0.5035135135135135,2.0681601852253,0.7830794173280009,-0.004708692397644339,-0.09532917691681193,0.4172771615181838,0.3885509882852014,0.01840762805880709,0.0015064326829376088,-0.0673087227077478,0.7156002496254187,-0.0034947707935421364,-1.613200346487483e-5,-0.021621673837146096,0.04382721662094118,0.03082787416332976,0.012092552086383926,0.10966739870885925,0.04910787691544809,0.03530902274210019,0.007718677555646798,0.09461464604152225,0.028410781904477298,0.01816075432478723,0.004159999759386856,0.061885717513811056
2,1202603,TRUE,0,0,,150,11100,74,74,74,54025.95216181203,23,96.09723591804504,0.5023423423423423,2.0677030925715676,0.7375030642103712,0.08915865795588722,-0.09749017320609712,0.14404026245586754,0.4298121326282249,0.03820298092463349,-0.00808576316838679,-0.036653014701711804,0.6931678690532983,-0.029405369690014473,0.008249652123584996,0.0057621594071045985,0.04849294542223951,0.03751919873085976,0.015355475219599068,0.12270974221909915,0.046728132904395724,0.03606634970311334,0.007971547545850418,0.09338051653406139,0.0299856217513627,0.014362563318160224,0.0033086294165299538,0.066042930164085
3,1202604,TRUE,0,0,,150,11100,74,74,74,53872.85574139293,23,92.13296389579773,0.5036036036036036,2.0673435388472625,0.6380142099586519,0.1178646516863399,-0.10468383442518406,0.3185462983361172,0.4627544985907111,0.015262493047007311,0.014649461199664506,-0.3101204497762051,0.6804533090245676,-7.494808322890983e-4,-9.075869108864993e-4,0.0248868718044248,0.05136147067252585,0.04266390116767642,0.015104720244737146,0.12238276763200052,0.04045674284403958,0.02530173852853409,0.007013261462493696,0.1037109641447102,0.02824373943581122,0.02008684434999202,0.0048979251301711855,0.06846001402307045
4,1202605,TRUE,0,0,,150,11100,74,74,74,53775.96056204903,24,123.4198489189148,0.5061261261261262,2.066744844802876,0.7127625258825753,0.09750100839740845,-0.11831317415355815,0.31070491009979906,0.47583815008710434,1.9929809716125228e-4,-0.002797650625198115,-0.0025611252615488907,0.6367084223081673,0.009736092039289965,0.0014053274527403513,0.023454423683245122,0.04769546012613816,0.03927692714925384,0.016463965622584883,0.12392888188267707,0.040598567449230745,0.025637437108413565,0.006841706435656556,0.09150873866844857,0.029916584933042046,0.018548720611667558,0.004248706319950209,0.0655117227282572
5,1202606,TRUE,0,0,,150,11100,74,74,74,53619.00282560703,27,122.14578700065613,0.4985585585585586,2.066852612717351,0.6411632571376195,0.2007767798563116,-0.1555373474404134,0.3126139407902605,0.4311270554013547,1.583000205296817e-4,-0.004618592565944028,0.040567071135385734,0.7302196620172994,-0.005433427932843961,-0.0014586416144428472,-0.016094209287893766,0.05491041820295749,0.05196102046355911,0.020462991698626462,0.12622735756761175,0.04679389893879238,0.03127833842343747,0.007155800027976397,0.09661317047216969,0.026022525774291188,0.01686684221144611,0.0038905927299466574,0.06264258099241568
6,1202607,TRUE,0,0,,150,11100,74,74,74,53729.04158122517,22,151.13680291175842,0.5071171171171172,2.0671806057848547,0.6832553916478983,0.12981913224389144,-0.10587558107027921,0.29494220885229105,0.3192346744757479,0.025610850914599293,-0.0033708285407952113,5.480688750193203e-4,0.7023543636229572,-0.02594351531781033,0.005079813429060821,-0.006734495539072579,0.04830356942106448,0.040982570925855104,0.013992517100454283,0.10654605484628583,0.05383996201278424,0.03889002524616991,0.008761000652886,0.11067008568857709,0.027809330163848317,0.014932328829679889,0.00366162749559621,0.06905344945016195
7,1202608,TRUE,0,0,,150,11100,74,74,74,54074.404884721574,29,88.90151906013489,0.505945945945946,2.067766529479286,0.6652927346250473,0.13255497252616616,-0.12118377219745709,0.24461547214262683,0.3412976873801755,0.02669237512742331,0.007506252710811113,-0.08192506185592621,0.771083085441872,-0.009144538850544243,-0.0034529387100303184,0.003634111386453511,0.05452990154036681,0.04301296072045401,0.017753677595632643,0.11859363953457551,0.05315272237969497,0.042631138149937256,0.008841480396450267,0.09843438854011805,0.026819583760013827,0.019037385861962974,0.004626037905082437,0.05949390118427399
8,1202609,TRUE,0,0,,150,11100,74,74,74,53885.61082115652,24,112.79914689064026,0.509009009009009,2.0672066949784496,0.7468027686706655,0.1641522235184403,-0.10938029972991681,0.12948649470248516,0.3499887185584918,-0.06015123746302754,0.01002382498664024,0.14248749068239733,0.6631572116555103,0.009360991195856386,-4.7933090915483007e-4,-0.019834616142634168,0.043180763638888474,0.03862781803476892,0.013277124068712932,0.10337043191587697,0.049401012577084555,0.024905090696107857,0.005980848804556202,0.10972800753502841,0.03006227451729966,0.0213921918230358,0.004636739164312221,0.0715198538547658
9,1202610,TRUE,0,0,,150,11100,74,74,74,53656.38888657778,25,142.38491702079773,0.5076576576576577,2.0666828302469487,0.7399754828961866,0.13294831711487454,-0.1051851846710568,0.16162593110870174,0.400938869813695,0.024376824090747824,-0.003287111951301957,-0.11178853674707974,0.6668625841918235,-0.016762156988337554,0.0031242791785448015,0.019470849318102078,0.04659584154275011,0.035728080171158055,0.013477845336416237,0.11175975960330707,0.04764407531773709,0.05191766049371911,0.011677201081456944,0.11327150603381815,0.030731258100707304,0.02181112802665041,0.004818928900876368,0.07205044698578197
10,1202611,TRUE,0,0,,150,11100,74,74,74,53946.53595699144,25,93.41906714439392,0.5054954954954956,2.066729071176178,0.6674915574276613,-0.007344839409210921,-0.07982569259452896,0.4660552073373246,0.5017200455679541,-0.019707189238102243,0.0019004102075193085,-0.08810210610681196,0.7049183388370546,0.03714611475180265,-0.0016854473188733473,-0.14215351191244532,0.05221583992843636,0.043173922114468036,0.012393156506644458,0.1356104535648913,0.043775608621752844,0.023981164152802648,0.0066687445839391755,0.11123233277487864,0.028215564228283356,0.022156561012127207,0.004826783162203384,0.0684966656486071
