replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,g_a_1,b_cn_0,b_cn_1,b_cn_2,g_cn_1,b_e_0,b_e_1,b_e_2,g_e_1,se_b_a_0,se_b_a_1,se_b_a_2,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_g_e_1
1,11202602,TRUE,0,0,,500,37000,74,74,74,199130.63162382267,43,1831.5297451019287,0.25413513513513514,2.066777399289473,0.6529627710197583,0.10373331019475585,-0.08992516408863552,0.12713615349226517,0.36938909018137117,0.031522122549401836,-0.01036524744753492,0.10844922950438592,1.1042336943613293,-0.0033092528175856215,0.0015186886826063163,-0.016722698650562442,0.03939290775833277,0.03251145540889724,0.012132600669302256,0.08361510976614679,0.0467094786494801,0.04261814177115089,0.010609040817513647,0.05580006721502879,0.011401103996322236,0.00646187606067609,0.001800700705889242,0.016121627688769225
2,11202603,TRUE,0,0,,500,37000,74,74,74,198872.82966447814,45,2486.1602239608765,0.2497837837837838,2.0668866342115053,0.6685016029511647,0.0869285993694355,-0.09032278035755265,0.22453323057194413,0.4015064004225157,0.024716990119187616,-0.0054899316714128125,-0.0500089476439187,1.108211227439066,-0.002424440673714648,-0.001026217890714801,-0.004729661211811623,0.03932728957570119,0.030517799709359337,0.011005991190109263,0.08404774058956199,0.04460026528092664,0.04017566805573197,0.009636897985328892,0.0575994728004268,0.01175820290962652,0.007477117612965199,0.001990317924810723,0.016822227823380775
3,11202604,TRUE,0,0,,500,37000,74,74,74,199075.41090560672,44,2101.676920890808,0.25083783783783786,2.067086225762887,0.753825126743911,0.0636398610828043,-0.09354130440562197,0.06603921275908375,0.3369116344413624,-0.0012222694509446137,0.005144229063366323,0.07585104073165964,1.1052208440812643,0.003439452514985204,-0.0021284357929599704,-3.0763684389038343e-4,0.034286026192741466,0.025107059073692376,0.01024543833018783,0.087772651072549,0.041908498582685694,0.027058662546039076,0.006998543426084698,0.0531208884751757,0.011677111436934794,0.007225289448377708,0.002001338577408179,0.015969041332072862
4,11202605,TRUE,0,0,,500,37000,74,74,74,199055.41857775007,42,1765.0216040611267,0.25024324324324326,2.066897789701367,0.6849584739202219,0.10297241000262226,-0.10848948725660011,0.3480298829322093,0.4658784146408591,-0.03409866717674229,0.004620295622562829,0.011230550976286892,1.0959768706667785,0.017159699497004684,-0.0045665732735650525,-0.025015745340756238,0.039438879145930014,0.028955481215361355,0.011223516673363122,0.0793206355708364,0.03507586075945715,0.017771073460672908,0.005406939966951073,0.05654890086655902,0.011852421437073261,0.008083525017797629,0.0021706247910532124,0.016777815575010544
5,11202606,TRUE,0,0,,500,37000,74,74,74,199099.72607433068,38,1547.9665079116821,0.25432432432432434,2.066780567247315,0.6821328534121098,0.10361019338740225,-0.08693001096205989,0.21504478211736422,0.411881000645462,-0.04062237555930758,0.008162453407836686,0.02092269163331783,1.0940220766437536,0.011545489972957687,-0.0032176956211175285,-0.020870315009167396,0.036895078779537974,0.02960302393902901,0.010688225053317636,0.0750886028637853,0.03733841977137202,0.016941391314602473,0.005195009690936978,0.0593945284571989,0.0116027301847459,0.007613366039105781,0.0020859231224122847,0.017208277999720863
6,11202607,TRUE,0,0,,500,37000,74,74,74,198793.51804703713,40,1893.2433438301086,0.253,2.0667295925147906,0.7612953110557668,0.08809444259446224,-0.11281324602062001,0.28106730225809784,0.35722422786482416,0.006516374950944491,-0.0010305116495889983,-0.0028748134132993686,1.0857030171592705,-0.006030601698728105,0.003422984134739132,-0.012961807907794588,0.033064829497188836,0.029437316107154606,0.011790513788127968,0.0723737044591472,0.04377011211804236,0.03474578886619595,0.008833851923422809,0.0558440191718051,0.011655221493751623,0.006928795458120536,0.0019156380763937003,0.01567981243328272
7,11202608,TRUE,0,0,,500,37000,74,74,74,199091.81802664223,44,1665.403872013092,0.251,2.0667000925149597,0.6431191973710524,0.10443679933425862,-0.09170727673795383,0.17336236075719402,0.3945705597664485,-0.013741642947877815,0.0043839464660174274,-0.07044313102626003,1.1205620199334219,-0.0011551905484152162,-0.001893161519089824,-0.004600390364719713,0.04170746327032087,0.031197005307614326,0.01171329503802071,0.08085781076285789,0.04123753159120503,0.02015211334255185,0.005572586205402845,0.05621051395524535,0.011439566654650837,0.006153629198648553,0.0017187364542695825,0.016035259227329544
8,11202609,TRUE,0,0,,500,37000,74,74,74,198978.79662560704,37,1729.4855110645294,0.25432432432432434,2.067220689893217,0.729485420759343,0.07971033170526558,-0.09497025098607001,0.0071701916875826464,0.3542239949744391,-0.016901212570923016,0.008503639645049781,0.032843271917819813,1.1026263229428799,0.0013929044985257384,-0.0016935152741852874,0.017948120552840674,0.03545021330984593,0.02883978273607883,0.011589284994818662,0.08905743706025238,0.041217652065109286,0.021188769209451508,0.006073330832172034,0.05240014985402441,0.011607776781175153,0.007017664361430496,0.001984859009158776,0.01549155903183328
9,11202610,TRUE,0,0,,500,37000,74,74,74,198994.78862244735,40,1514.0618469715118,0.25256756756756754,2.0674523440123873,0.6819228500126422,0.10606212331471598,-0.11479531362038699,0.15086671252810685,0.3840443863945492,0.041371699826482075,-0.011741605593966234,0.04451726379947812,1.102548863655732,-0.005431957171634605,8.703349295241406e-4,0.0391649679440862,0.03892210376124325,0.03208381580989204,0.013471890550470095,0.09732879613177538,0.04269193214683787,0.02783586718792234,0.007392022631290312,0.05406859692413794,0.01100792303377314,0.004839431388065758,0.0014922826997896775,0.015479037196810862
10,11202611,TRUE,0,0,,500,37000,74,74,74,199330.91415171575,41,1548.7165389060974,0.254027027027027,2.066736624573241,0.670953218305903,0.13776016538478925,-0.11249036251315772,0.26947106944856275,0.39729209595689824,0.0642321459222539,-0.013893574648674792,-0.06756334197581418,1.1142723944914095,-0.013927407145619174,0.001228356402704603,0.01965669828920121,0.040036126662953586,0.03306722956986557,0.012211199171896277,0.07934541627070915,0.044086665241842876,0.03429139102899975,0.008420543359607185,0.05436709505247657,0.01115651845344688,0.0047236709132233165,0.0014563968794169247,0.016486689785934493
